Date,Reason,Impact,Duration,Tags
2022-04-14,"CI / CD bug, cache bug",High,10m,CI/CD
2022-04-12,"Microservice decomposition, overfetching, heavy query memory gc",High,60m,"Over-fetch, Refactoring"
2022-04-04,"Container memory issues, old jvm, autoscale, gc, load balancing",High,60m,"Framework, Infra, Over-fetch"
2022-03-24,"Wrong feature flag, server bug",High,35m,Breaking
2022-03-11,Server logic / DB Query bug,Medium,45m,"Breaking, DB"
2022-03-10,CI / CD related build bug,Medium,3h,CI/CD
2022-03-03,"Microservice migration, DB permissions",High,30m,"DB, Refactoring"
2022-02-27,"Microservice migration, gc, cpu usage",Medium,120m,"Over-fetch, Refactoring"
2022-02-16,"Self DDoS, UI bug, cache",Medium,12h,"Over-fetch, UI"
2022-02-08,"Microservice migration, server logic bug",High,3h,"Breaking, Refactoring"
2022-01-19,"New app, authorization, microservice migration",Low,32h,"Framework, Refactoring"
2022-01-13,"Self DDoS, autoscaling",High,120m,"Infra, Over-fetch, Framework"
2022-01-13,Server logic bug,High,80m,Breaking
2022-01-07,"Microservice migration, infinite DB loop, too many transactions",High,10m,"DB, Refactoring"
2022-01-06,"Microservice migration, infinite DB loop, too many transactions",High,30m,"DB, Refactoring"
2021-12-13,"Container memory issues, old jvm, autokill stuck container",High,60m,"Framework, Infra, Over-fetch"
2021-12-30,"DB overload, graphql timeout",High,90m,"DB, Over-fetch"
2021-12-22,"Server incompatible DB rows, data corruption, unknown source",Medium,12h,DB
2021-12-16,"DB lock, slow query, over fetching",High,25m,"DB, Over-fetch"
2021-12-15,DB locks,High,40m,DB
2021-12-09,"Autoscaling, insufficient server resource",Medium,45m,Infra
2021-12-07,Vendor,Low,-,External
2021-11-01,UI bug + cache issue,High,70m,UI
2021-11-03,UI bug,High,1h,UI
2021-10-11,"Serialization error, service API incompatible",Medium,5h,Breaking
2021-09-27,"Server incompatible DB migration, deployment race condition",High,15m,"CI/CD, DB"
2021-09-22,DB Locking,High,5m,DB
2021-09-14,DB down due to vendor,High,50m,"External, Infra"
2021-09-03,Vendor API breaking change,Medium,6h,External
2021-09-02,"UI / Server Self DDoS, over fetch",Medium,10h,"Over-fetch, UI"
2021-08-03,Autoscaling,High,40m,Infra
2021-07-12,"DB Bottleneck, transaction lock",High,60m,DB
2021-06-17,Server bottleneck,High,2h,Over-fetch
2021-06-16,"Bad migration, data loss",High,2h,DB
2021-06-15,DB Bottleneck,High,10m,DB
2021-05-26,DB Lock,High,20m,DB
2021-05-26,UI Bug,Medium,3h,UI
2021-05-26,Frontend 414 Request too large,Medium,30m,Over-fetch
2021-05-17,Server breaking change,High,4h,Breaking
2021-05-13,"Long running migration, DB lock",High,145m,DB
2021-04-14,"Query over fetch, DB overload, self DDoS",High,5h,"DB, Over-fetch"
2021-04-08,"Server incompatible DB row, NPE, UI self DDoS, Transaction locking",High,124m,"Breaking, DB, Null"
2021-03-02,Server incompatible DB migration,High,120m,"Breaking, DB"
2020-12-03,"Server incompatible DB row, NPE",High,12m,"Breaking, DB, Null"
2020-09-14,UI self DDoS,High,60m,"Over-fetch, UI"
2020-06-01,"UI self DDoS, RowExclusiveLocks",High,90m,"DB, UI"
